feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
0,0,20,12,47,11,1,0,36,1,8,18,7,4,7,38,2,7,17,24,14,6,16,2,0,4,11,31,12,7,9,8,0,5,18,3,9,33,1,5,0,6,0,21,6,2,25,14,0,0,3,1,19,3,8,3,13,5,10,1,12,1,3,6,0
76,2,0,0,2,7,2,2,0,86,7,1,6,6,12,5,4,6,79,5,3,3,0,0,0,1,0,69,0,3,0,9,0,0,0,2,68,0,4,0,0,0,0,2,0,59,4,3,0,3,0,0,0,1,67,2,0,2,0,5,3,2,2,47,0
36,17,89,26,21,4,9,68,5,7,9,6,6,2,180,0,0,18,0,21,8,247,0,0,3,5,0,0,229,0,0,8,1,0,69,234,0,0,14,19,2,0,108,14,56,18,13,25,88,44,49,33,15,20,29,4,3,7,0,25,23,36,3,0,0
98,2,1,0,2,125,5,9,4,5,2,2,0,0,5,3,0,4,7,4,2,0,0,24,0,0,2,12,5,3,0,4,0,0,0,2,5,30,2,5,0,0,4,0,8,1,26,0,0,4,0,0,0,1,227,1,6,29,37,0,137,0,6,59,0
18,45,115,6,3,0,4,13,17,0,26,97,17,9,9,16,5,30,9,0,22,62,1,4,5,57,7,59,55,2,9,56,2,5,0,4,5,17,0,5,60,1,0,0,21,0,4,15,4,8,0,6,6,7,5,0,0,14,3,2,3,0,7,7,0
12,0,1,3,1,1,0,14,3,8,4,4,0,0,0,7,8,31,101,4,0,2,1,1,46,6,64,1,0,3,1,1,29,7,4,5,0,3,0,30,4,21,2,1,111,0,13,16,13,57,11,1,15,154,31,10,0,4,22,6,3,50,10,18,0
50,54,7,3,5,9,11,5,45,0,27,7,0,0,15,5,1,7,7,0,0,3,93,2,0,6,79,0,1,4,3,4,7,0,0,0,0,0,1,1,56,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,9,2,9,53,2,0,3,0,0
42,0,1,0,2,1,2,0,4,15,1,0,1,3,2,2,3,21,94,2,2,2,3,2,4,0,22,123,0,2,1,1,17,4,15,15,13,1,1,6,86,15,6,1,65,1,4,0,7,75,28,8,0,20,0,0,4,0,29,16,9,0,12,88,0
72,7,0,3,1,79,55,8,0,1,0,26,1,0,31,8,0,6,4,1,0,0,20,15,4,0,0,0,8,24,8,0,2,0,0,11,53,4,1,0,0,0,7,79,6,0,0,1,0,0,63,6,0,2,0,0,0,59,2,0,8,0,3,2,0
6,26,0,0,0,0,50,0,7,15,0,1,0,71,0,0,0,0,0,13,70,0,0,1,0,3,19,56,0,0,3,5,15,24,45,0,0,1,8,8,97,10,0,0,0,10,0,0,9,0,18,0,46,2,2,2,0,0,0,73,21,0,0,0,0
3,80,37,27,0,5,0,0,74,12,109,7,4,14,0,32,9,11,5,9,69,0,3,8,2,1,3,13,0,114,51,64,0,8,19,0,141,0,9,53,0,10,0,104,8,2,7,2,0,0,90,0,0,22,4,3,0,0,2,6,36,3,12,25,0
0,3,16,6,5,0,0,60,20,8,21,0,0,0,75,11,7,12,52,0,14,31,0,0,38,0,0,7,12,33,0,0,23,0,0,21,29,11,0,10,0,0,15,48,30,0,6,22,0,0,74,1,0,8,40,29,4,68,17,0,0,50,4,4,0
1,1,0,2,6,0,0,3,2,0,5,0,1,1,0,0,1,1,6,0,1,6,0,2,1,0,3,7,1,2,0,1,0,3,1,4,0,3,1,2,3,1,1,0,0,0,0,8,0,0,4,5,2,0,0,0,1,11,0,0,5,1,3,0,0
0,8,9,13,15,25,23,0,0,0,24,32,22,3,0,0,0,16,7,9,3,0,77,102,0,27,4,12,0,8,0,1,17,24,3,0,1,0,0,0,3,23,8,4,42,27,0,32,27,0,0,18,8,0,41,5,0,0,19,1,0,34,12,13,0
1,22,100,0,0,1,1,0,5,0,124,0,0,1,0,32,127,42,2,0,0,4,4,7,3,0,32,28,0,0,0,0,0,107,15,7,0,39,30,0,0,0,0,11,128,10,17,6,14,3,46,0,0,9,225,0,0,80,2,18,6,0,16,4,0
5,12,2,2,17,0,0,24,1,29,2,2,1,10,0,0,10,120,3,24,1,5,1,29,9,1,0,0,0,0,1,10,211,0,0,0,2,4,0,0,16,0,0,8,0,3,0,53,0,20,10,12,0,0,0,0,21,12,2,3,8,27,0,0,0
2,3,1,1,0,0,56,41,92,4,3,0,0,5,18,6,146,19,18,9,6,14,19,23,0,2,16,10,5,19,19,71,140,3,0,32,12,3,5,2,98,0,1,0,8,114,144,78,4,43,1,0,37,6,1,2,2,3,128,10,11,0,49,29,0
0,40,17,2,1,0,0,0,0,3,0,0,0,2,3,4,0,13,0,5,14,0,1,0,28,14,0,0,1,0,0,1,3,2,128,0,1,7,0,2,9,0,1,1,2,0,44,8,0,2,0,0,0,0,0,3,23,2,4,0,6,4,0,4,0
0,4,2,128,1,7,66,22,0,0,0,51,9,3,1,16,0,0,1,1,9,4,3,2,0,3,2,0,27,0,0,1,126,2,1,2,128,1,9,78,3,3,108,1,1,1,2,0,0,0,0,1,29,32,115,4,3,0,2,0,1,4,6,0,0
