feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
10,8,19,28,22,14,2,9,22,5,16,19,36,1,4,6,11,99,2,56,19,10,109,29,47,29,34,8,56,3,7,16,24,40,8,15,38,62,14,5,3,23,8,26,3,92,4,20,15,7,3,0,0,0,118,1,0,15,71,6,0,1,2,79,0
16,25,128,24,0,7,13,4,3,30,65,75,7,12,6,2,18,1,80,32,42,38,10,7,1,10,2,96,7,17,27,25,2,4,5,0,107,4,39,31,49,7,5,2,8,101,4,20,7,3,10,4,6,34,37,9,2,9,13,61,5,5,11,67,0
41,2,10,33,0,21,14,17,0,47,7,48,14,13,9,7,1,7,18,14,52,5,29,40,4,4,1,16,32,33,21,10,3,0,5,20,2,52,36,9,1,3,3,14,49,1,19,53,2,14,4,2,27,100,10,94,6,7,98,4,7,34,6,46,0
12,196,16,5,8,4,6,1,9,3,36,78,10,1,8,15,89,25,2,33,12,52,5,1,0,0,11,1,46,47,29,27,14,14,2,2,1,45,7,37,3,12,111,4,2,24,97,0,7,3,8,5,25,2,15,31,0,6,10,16,15,11,8,13,1
66,94,3,22,4,40,10,0,44,67,25,4,21,25,80,4,128,38,21,0,9,9,0,112,60,7,28,128,1,21,27,202,32,33,126,9,80,2,1,90,28,6,121,1,17,106,3,27,15,0,5,75,14,9,1,29,0,24,0,7,21,15,110,217,0
233,12,2,1,129,162,26,0,92,4,1,0,13,12,7,4,81,2,0,55,7,2,0,1,4,2,40,78,0,2,1,5,8,5,2,4,0,0,1,4,6,25,51,8,3,0,0,0,28,6,7,19,88,3,3,0,64,6,6,4,14,5,61,44,0
28,2,0,47,10,72,64,23,96,27,49,94,29,41,7,28,31,86,2,114,11,75,109,90,85,73,87,5,114,39,11,23,33,15,15,90,4,92,103,57,0,0,3,26,35,2,78,96,24,7,42,22,125,15,1,0,5,8,47,52,10,15,12,11,0
13,30,0,144,8,38,37,9,28,0,51,11,15,6,22,2,27,14,15,33,31,11,33,1,3,25,31,20,31,27,40,18,20,10,14,48,23,31,6,11,127,50,14,16,67,46,16,98,13,14,75,12,8,108,52,24,21,9,0,28,60,5,79,29,0
5,0,1,9,15,34,2,0,0,177,2,0,0,55,0,10,31,2,6,29,3,62,1,77,7,1,1,0,54,81,111,52,1,0,0,29,150,11,13,0,2,3,31,167,1,2,1,1,24,37,129,0,3,2,0,0,50,124,4,0,0,5,2,0,1
104,33,0,14,119,60,28,81,11,0,34,9,51,0,3,0,6,0,126,7,3,98,0,1,62,18,41,0,109,0,3,123,89,12,40,105,6,0,84,125,34,47,114,2,0,18,1,0,15,17,10,7,0,0,4,1,5,31,9,0,21,113,11,7,0
3,39,129,128,195,8,5,16,17,11,23,36,2,0,0,133,142,0,0,27,0,9,60,10,2,2,48,51,0,149,42,4,0,1,126,0,122,54,4,2,0,91,81,1,3,0,0,2,29,185,0,0,3,0,0,0,129,1,5,1,0,0,0,0,1
44,38,5,0,3,9,194,4,105,29,22,1,5,191,0,6,12,1,3,1,77,1,43,36,0,7,0,9,0,114,50,73,3,104,0,0,101,5,27,50,219,0,0,111,24,216,0,25,16,13,177,15,1,173,0,65,2,24,45,65,0,132,87,34,0
4,9,15,36,10,48,2,0,13,113,88,26,1,3,0,49,3,3,0,25,11,15,154,118,77,124,3,0,44,3,199,0,5,0,27,5,28,70,79,6,18,36,7,11,12,99,58,28,137,38,8,14,12,55,11,128,116,109,7,22,12,19,0,20,1
0,14,41,3,10,0,1,10,3,1,1,33,11,7,13,19,100,11,0,29,11,38,11,12,14,39,155,32,27,46,64,0,3,69,124,59,47,2,111,45,8,0,83,124,18,2,7,116,5,2,3,51,126,11,8,9,2,2,3,11,25,8,125,114,0
5,2,1,1,3,9,7,34,4,2,1,1,5,7,1,35,3,3,2,5,6,11,3,37,2,3,0,5,8,7,1,51,1,6,0,5,4,11,5,57,4,3,1,8,2,10,10,49,88,53,6,7,0,3,15,53,123,128,128,118,71,25,102,6,0
7,58,8,11,10,19,0,0,6,64,21,6,121,3,24,10,12,102,11,1,89,0,38,2,11,49,3,8,59,76,55,20,10,20,8,2,22,101,41,33,66,122,18,21,111,0,114,0,90,30,4,0,0,3,3,2,10,120,62,4,0,0,28,30,0
5,13,28,0,13,55,16,1,0,73,40,25,73,10,72,108,24,14,29,41,11,70,28,13,6,5,10,2,104,1,30,20,38,14,13,5,15,0,96,101,137,5,7,50,128,104,60,0,15,5,3,1,23,15,7,12,67,15,18,1,11,32,10,64,0
108,23,7,1,67,4,0,3,134,129,14,3,5,1,3,2,13,33,15,21,0,0,0,0,12,30,18,22,0,3,3,0,23,34,23,15,0,0,0,0,20,31,23,18,1,1,1,2,19,38,35,13,3,1,0,0,26,41,33,15,93,128,112,74,0
0,10,22,23,0,10,17,83,2,10,18,19,3,6,13,70,84,79,48,39,43,12,13,0,119,0,7,17,36,25,5,0,116,0,23,41,34,120,0,9,101,0,48,52,0,127,9,5,0,26,99,13,49,36,0,23,21,2,56,74,65,155,99,0,0
0,42,156,57,21,29,128,128,37,4,96,54,20,5,1,0,42,0,48,56,29,10,2,40,132,8,0,61,21,1,123,1,128,44,52,0,7,24,33,0,128,88,119,3,85,11,35,3,128,48,130,1,14,23,37,6,185,31,104,1,16,126,0,58,0
3,47,0,16,48,23,45,35,27,2,6,0,127,0,7,2,33,3,40,1,0,0,6,9,128,110,5,5,5,4,0,5,0,41,12,4,1,9,0,0,0,40,0,0,4,4,3,0,14,28,5,0,6,0,5,1,5,0,10,4,42,4,2,5,0
7,19,8,27,29,1,0,0,55,12,5,2,2,3,0,1,4,2,43,0,2,1,4,9,0,1,28,28,0,1,0,5,0,2,0,9,29,6,1,2,0,1,2,0,10,33,140,115,3,2,1,2,34,15,37,12,2,2,1,7,0,49,9,92,0
