feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
14,16,121,20,3,1,0,2,0,0,1,25,22,20,14,0,1,0,0,0,2,0,2,44,3,0,0,106,1,2,2,0,0,0,0,10,0,0,0,0,8,91,0,0,2,1,0,0,4,0,36,43,8,1,4,0,9,11,7,2,1,8,128,10,1
18,46,8,1,5,77,47,108,1,2,4,20,16,41,8,8,1,0,0,1,0,5,2,3,1,2,0,57,1,0,0,0,2,0,0,0,4,0,0,0,36,5,0,0,5,1,0,0,4,7,1,13,8,1,0,2,1,1,2,0,19,6,79,9,1
2,9,3,7,7,9,5,6,0,2,5,4,2,0,1,1,1,31,6,152,20,2,7,2,192,32,10,2,31,0,0,36,4,0,17,2,11,1,0,0,23,72,36,29,32,4,5,24,2,23,108,78,37,15,4,2,128,65,1,76,25,0,20,17,0
7,13,4,7,0,5,2,3,5,2,2,6,1,2,3,4,24,1,2,1,2,2,2,1,2,0,0,0,2,4,1,0,26,0,0,0,2,2,0,5,30,1,0,14,3,7,0,7,35,8,0,14,5,0,3,0,2,1,0,0,3,4,3,0,0
113,3,10,0,0,0,0,0,4,0,0,0,7,10,6,13,0,94,3,17,0,5,0,0,0,1,1,1,8,1,13,0,0,9,0,2,2,3,9,0,0,6,0,0,2,10,10,0,2,5,75,0,128,16,137,126,0,5,9,3,4,0,4,5,0
24,29,4,74,6,38,1,22,11,0,0,39,6,0,59,54,3,5,7,39,9,0,52,86,2,2,4,26,1,0,58,84,46,102,4,43,0,1,4,2,8,3,4,44,7,7,1,1,1,0,11,49,5,3,2,2,64,66,183,63,1,2,1,0,0
0,35,43,171,4,0,1,0,0,4,1,0,0,4,27,0,1,2,3,0,6,2,3,6,0,6,10,8,5,3,9,6,0,5,26,2,2,3,3,46,1,0,69,2,3,0,0,50,0,0,7,9,1,2,16,131,0,0,3,0,124,137,0,3,0
3,66,77,59,16,0,1,0,4,0,0,3,0,4,0,30,4,2,20,0,2,4,0,59,0,1,0,5,64,49,0,34,0,0,0,0,24,9,0,75,6,0,142,0,50,6,91,103,0,0,46,0,25,2,140,138,0,0,10,1,39,31,43,117,0
0,0,20,1,4,3,6,6,68,26,97,46,8,2,4,0,53,4,7,0,1,1,121,0,60,5,5,12,22,0,134,59,66,25,6,61,2,0,134,0,56,11,7,51,55,0,136,47,50,2,1,17,2,84,66,5,98,104,33,7,8,101,2,2,1
0,0,0,0,0,0,0,104,0,0,0,2,0,0,115,3,0,0,0,0,0,110,0,2,0,0,2,0,120,0,0,2,0,0,0,142,2,2,0,2,0,0,151,0,1,0,4,143,0,164,0,1,2,1,85,12,142,3,2,3,3,0,94,43,0
