feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
3,7,10,5,10,0,1,6,5,3,3,30,7,0,0,6,4,0,26,2,1,0,0,6,22,14,0,1,7,0,0,10,6,10,1,6,0,1,0,30,20,5,0,5,5,2,0,0,17,11,6,11,4,7,0,0,3,30,17,20,13,2,0,0,0
25,4,2,0,16,2,170,51,8,2,4,8,11,10,3,3,2,1,1,5,29,18,0,7,8,6,8,10,197,0,0,0,8,4,0,15,5,0,4,3,1,6,7,4,49,0,149,2,0,0,7,2,1,0,6,0,29,1,3,2,27,6,0,0,0
9,3,0,3,6,0,1,29,0,1,0,0,0,8,40,49,1,3,1,1,2,50,41,3,0,4,4,3,16,33,12,2,1,1,0,21,21,0,4,2,1,1,22,33,2,0,3,4,1,11,27,4,1,5,1,46,3,16,6,2,2,7,57,8,0
18,10,13,4,13,2,9,12,56,119,2,1,2,6,2,5,107,2,0,2,4,0,0,28,5,3,1,0,9,3,8,2,128,2,0,2,4,3,0,0,8,57,6,4,14,0,2,0,13,4,6,0,0,0,0,1,30,13,9,20,0,6,5,2,0
18,8,2,5,2,8,9,0,4,1,5,4,32,7,8,3,1,5,7,56,2,0,2,1,1,3,0,3,2,1,1,2,3,1,2,4,15,4,2,5,1,7,0,2,11,25,0,5,15,11,2,6,7,10,86,2,0,0,2,1,2,0,2,64,0
7,0,0,70,5,2,29,2,4,0,0,3,0,0,4,3,83,0,0,0,2,8,1,9,2,0,3,4,7,2,0,7,2,4,0,38,1,11,2,6,3,24,20,0,37,8,2,5,5,5,0,8,2,6,4,0,5,4,0,1,0,1,12,65,0
11,7,143,103,6,1,7,2,28,7,37,37,2,2,20,4,16,0,3,29,36,14,11,2,7,30,5,14,9,13,49,4,10,8,6,43,25,54,17,16,70,0,3,28,27,17,29,23,2,7,1,0,9,2,7,120,2,93,3,4,26,23,76,26,1
41,11,9,4,5,2,3,8,5,32,6,13,4,5,3,3,0,4,25,6,34,5,4,3,36,1,6,27,16,46,4,5,10,0,1,4,24,17,48,14,25,90,67,11,2,25,7,35,35,3,4,56,1,5,16,5,21,2,2,3,34,6,6,30,0
0,5,0,0,4,2,3,22,2,0,5,2,7,0,8,2,0,0,3,5,1,10,0,3,1,2,0,5,9,3,3,2,2,0,0,16,1,1,1,5,4,0,8,3,2,5,9,5,1,17,0,1,6,2,9,8,9,5,4,12,4,5,1,3,0
26,52,2,3,3,5,6,3,0,47,24,7,9,3,5,8,5,6,27,6,12,10,3,7,3,1,5,31,7,5,5,4,22,12,0,12,31,18,26,4,16,10,95,5,6,16,12,29,1,18,2,0,10,3,16,7,0,32,2,2,5,7,9,10,0
0,0,40,3,1,1,1,0,0,42,2,0,0,2,0,4,53,0,2,0,2,6,2,4,2,1,0,2,21,2,2,0,4,0,0,17,3,7,0,4,4,0,13,0,3,0,1,3,0,19,0,0,0,13,8,6,19,4,2,0,6,3,3,4,0
3,5,37,2,9,4,2,32,3,7,6,2,4,2,19,3,11,2,2,0,7,31,4,3,1,2,3,0,20,2,0,1,2,0,1,14,3,7,2,2,1,0,22,3,7,3,1,2,2,9,3,5,0,0,2,5,32,2,4,0,0,1,1,25,0
2,0,87,8,2,1,3,0,0,103,7,0,2,0,0,2,111,1,4,0,0,0,2,4,1,0,1,2,4,2,0,4,2,6,7,1,2,3,0,7,6,0,0,0,0,0,10,3,2,1,2,2,0,8,4,3,2,2,0,0,13,5,2,3,0
