feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
5,10,16,8,1,0,0,0,16,13,33,125,107,13,25,22,2,136,128,2,4,9,24,59,1,13,7,13,61,60,39,134,0,33,0,116,121,0,0,129,58,9,8,1,6,6,2,128,120,13,94,3,1,8,3,218,3,1,2,7,101,128,75,10,1
0,4,202,104,0,128,4,3,1,205,8,2,8,9,101,255,0,200,2,219,14,96,0,2,0,19,128,20,64,10,49,1,113,31,13,89,0,112,11,120,128,34,1,0,18,32,63,21,68,41,75,1,44,204,24,4,5,46,67,150,128,6,1,2,1
0,123,2,4,0,8,18,16,65,36,3,92,128,8,10,2,36,50,71,1,15,128,2,5,0,25,14,128,42,34,25,4,0,69,11,20,132,43,128,128,132,1,111,17,29,6,5,53,128,220,4,6,100,82,21,4,0,3,2,0,0,2,6,104,1
14,0,42,1,94,127,1,0,19,118,110,48,0,128,20,9,8,2,53,16,32,4,13,4,19,52,131,118,124,9,5,5,3,26,73,2,2,8,24,6,44,86,0,8,20,26,0,5,0,0,3,124,6,4,118,4,1,102,2,1,5,128,127,0,0
2,23,4,3,0,3,31,0,33,20,0,25,16,4,52,1,0,14,9,80,42,16,29,54,128,0,38,0,3,106,82,0,1,2,128,43,0,31,1,36,23,7,13,0,68,10,0,3,5,23,10,44,128,128,166,43,40,125,13,57,55,128,2,1,1
0,15,5,0,0,2,0,0,140,16,71,0,16,11,1,0,4,29,3,8,25,83,4,6,98,19,14,145,4,1,3,23,6,128,128,16,1,0,0,1,0,1,2,126,57,4,0,0,0,12,0,3,103,72,1,0,63,21,85,76,0,127,128,91,1
5,0,13,1,5,0,32,129,0,2,15,80,11,26,2,14,19,0,16,162,3,21,76,14,38,12,6,0,49,128,3,81,40,139,0,15,9,128,128,9,0,0,32,5,6,182,0,128,0,0,42,16,3,194,0,3,0,0,32,5,251,22,0,2,0
45,11,4,0,32,24,88,4,50,32,11,8,107,22,67,5,6,105,19,31,70,11,11,7,25,47,9,21,114,1,7,116,4,66,49,1,146,32,0,35,16,62,126,32,51,0,6,14,22,9,30,6,11,51,38,24,17,9,69,37,77,66,83,100,1
0,3,2,0,1,122,7,0,0,1,4,0,11,128,2,0,125,0,3,27,45,66,10,0,102,27,9,10,71,33,55,2,24,40,96,121,15,96,75,5,125,94,17,124,33,24,25,32,15,38,128,2,59,21,29,119,9,6,5,76,241,123,241,42,0
0,0,0,0,4,27,9,1,47,50,17,75,22,5,24,4,96,200,105,18,38,11,13,20,28,14,2,41,14,73,47,119,19,70,33,0,90,18,26,11,3,62,0,6,36,22,0,7,0,24,16,49,115,30,52,32,1,95,0,67,245,134,149,36,0
6,1,37,36,110,50,63,41,1,13,183,106,24,87,10,0,6,3,2,1,20,2,31,15,8,4,125,0,17,0,0,2,92,104,30,6,5,126,0,4,0,8,4,0,45,33,10,0,0,51,2,3,57,88,60,11,0,3,117,107,31,253,21,0,1
159,179,2,3,9,69,0,0,145,1,0,2,9,18,2,0,29,3,0,0,0,90,24,53,54,33,1,21,243,7,104,85,52,85,7,0,11,15,10,10,27,25,9,9,0,2,6,4,114,7,28,226,0,9,0,0,8,64,79,1,8,3,1,0,0
0,0,0,31,153,19,0,46,0,4,98,0,163,120,0,27,44,128,28,125,7,1,4,16,230,1,5,2,1,27,3,0,1,0,0,0,72,19,24,0,5,0,0,0,206,127,23,22,90,0,7,3,2,5,32,30,23,4,0,236,1,4,5,5,1
0,0,0,0,0,14,22,2,0,0,0,0,135,3,87,92,1,0,10,70,0,75,0,43,2,75,152,4,237,1,3,29,0,148,1,5,65,5,0,2,120,20,0,6,6,5,2,0,65,17,0,0,0,71,20,123,102,101,1,25,225,11,126,11,1
56,0,0,0,2,0,0,0,115,0,0,0,0,79,0,2,0,25,113,70,18,152,4,0,69,0,0,0,1,4,4,2,105,0,97,42,0,65,85,27,128,26,6,8,45,12,1,3,0,47,13,159,2,1,0,0,8,22,4,0,0,0,0,0,1
