feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
0,0,0,0,3,0,0,1,0,0,0,1,82,0,0,10,0,0,1,0,88,0,0,15,1,0,0,0,83,0,0,14,0,0,8,0,85,0,1,12,5,4,1,3,80,0,0,6,0,0,0,0,95,0,0,5,2,1,2,0,153,7,8,27,1
1,0,0,2,0,1,2,0,1,0,1,2,0,2,0,2,2,2,2,2,26,1,0,2,0,0,0,2,2,0,0,0,15,0,9,2,11,4,0,0,13,0,0,2,6,6,0,1,6,4,1,2,6,4,1,0,63,18,4,5,3,25,13,1,1
1,0,8,0,1,54,18,2,6,25,23,3,4,1,1,37,0,49,4,2,0,1,0,7,6,5,2,0,2,1,0,3,27,25,14,4,0,2,2,3,3,0,0,42,43,7,0,1,0,0,0,2,2,4,0,233,15,128,28,7,5,2,0,5,0
25,3,0,0,5,5,0,6,5,10,41,54,16,42,37,6,11,1,12,33,21,114,74,38,1,2,6,5,24,48,1,85,7,14,4,54,20,59,0,71,10,39,40,48,30,12,19,8,40,10,1,6,43,22,0,0,4,4,7,31,1,171,6,1,1
1,17,10,4,9,3,9,0,10,6,0,0,0,0,3,0,7,3,5,0,34,2,23,84,5,2,18,17,12,14,66,20,15,0,11,45,57,91,115,123,8,3,5,66,13,113,127,93,14,0,29,54,79,96,5,13,7,17,69,20,4,12,8,5,1
4,56,1,8,2,28,0,8,0,66,91,4,1,3,0,0,0,15,12,0,0,15,0,1,3,35,8,0,17,42,0,2,0,40,7,4,2,96,0,6,2,64,4,1,0,0,0,2,1,69,13,3,3,67,1,64,0,0,17,13,8,6,2,0,1
186,15,0,0,2,0,1,2,0,0,0,48,0,1,4,3,4,47,28,6,145,3,2,0,3,55,49,39,124,15,48,1,5,129,83,0,116,41,48,20,6,131,93,1,116,30,52,57,26,83,115,20,115,29,56,22,50,0,1,4,120,92,79,5,0
13,0,4,0,0,0,1,1,25,64,93,84,17,1,0,4,11,89,67,64,128,0,0,6,7,3,6,6,110,75,7,10,10,6,3,1,70,132,66,21,15,81,4,1,64,132,65,14,10,1,5,97,25,132,65,20,13,9,20,11,3,1,118,2,1
2,0,3,1,0,0,0,0,35,0,1,1,11,0,0,0,58,0,2,0,0,3,3,4,128,1,1,1,0,0,0,10,124,3,0,0,1,2,2,7,158,128,0,0,0,0,0,2,73,4,0,2,1,0,0,1,56,1,8,15,86,70,2,12,0
2,1,2,1,31,2,2,2,1,0,3,2,24,1,0,1,6,7,3,2,15,1,1,0,3,2,2,0,19,1,0,0,3,219,31,23,16,1,0,0,42,35,3,0,19,1,0,2,2,0,2,0,25,20,40,0,2,1,1,3,3,106,42,0,0
0,0,0,23,2,19,1,2,0,2,11,15,26,2,7,6,7,3,6,11,7,0,4,1,24,0,0,6,8,1,5,0,11,0,10,0,13,0,4,4,49,3,4,0,39,0,14,102,7,2,14,1,1,3,9,12,5,18,3,8,12,8,1,0,0
