feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
6,2,1,0,0,2,15,0,15,25,9,4,3,0,40,21,34,19,32,1,0,0,17,176,14,28,14,1,0,0,127,0,17,4,9,0,0,23,2,0,15,3,0,0,0,85,0,14,0,4,68,0,15,120,4,43,127,73,74,0,10,41,1,7,0
4,0,6,1,0,14,6,0,2,1,5,0,40,12,23,0,0,1,40,27,9,1,1,70,6,0,17,9,0,21,1,10,0,73,0,0,0,21,0,1,20,1,0,8,16,6,2,1,3,0,27,12,4,17,7,70,0,4,97,4,23,5,6,33,0
0,106,155,59,22,0,0,33,63,2,0,0,0,69,0,174,0,34,3,161,16,7,7,28,35,6,4,0,55,0,181,3,43,0,178,2,30,0,69,1,1,115,0,37,1,154,9,4,0,120,0,47,0,135,4,8,221,0,1,5,101,7,4,3,0
0,8,1,9,80,0,93,62,61,20,0,194,0,0,173,2,37,0,160,0,0,244,0,4,0,31,4,2,222,5,101,95,0,6,0,183,7,22,1,180,8,0,66,4,12,65,0,50,0,251,4,127,0,3,39,0,113,0,114,28,173,0,48,6,0
3,3,0,87,4,0,0,28,17,1,1,139,66,56,6,17,80,0,8,52,16,135,13,2,180,113,96,105,2,59,0,56,19,2,6,80,2,17,0,79,79,3,167,121,152,0,87,15,128,66,3,5,6,42,158,7,227,12,0,2,113,250,2,0,0
3,0,14,3,60,2,0,1,0,2,0,0,0,1,68,0,0,0,73,21,19,23,0,10,0,12,16,70,44,70,120,0,0,0,0,58,10,108,2,5,0,40,50,0,247,0,0,64,48,17,19,177,0,3,63,0,12,0,29,3,8,10,35,19,0
1,4,0,0,17,0,8,0,2,36,0,0,4,1,72,1,6,215,0,10,1,11,0,14,5,4,0,4,5,21,1,3,2,5,10,128,23,0,150,0,0,18,9,142,16,6,118,0,0,24,1,0,2,5,15,0,22,4,0,91,1,188,2,6,1
6,12,26,18,16,21,4,190,37,120,85,6,1,1,164,2,2,0,1,7,0,207,1,0,0,0,8,1,121,147,113,1,4,0,4,171,0,6,99,1,12,3,193,0,0,0,12,11,14,171,0,0,26,126,5,32,196,0,0,0,19,0,0,4,0
1,1,0,0,167,16,2,0,0,2,0,0,5,0,34,1,32,21,4,65,27,0,4,4,128,9,40,7,40,7,7,0,11,0,4,26,6,1,128,5,14,21,0,0,13,26,6,52,8,3,1,97,27,1,0,24,2,3,0,2,2,9,6,24,1
0,109,115,6,1,25,0,187,0,2,1,24,3,7,3,6,17,4,7,8,7,0,0,44,6,0,0,0,8,3,2,2,1,3,2,0,13,1,0,1,110,2,0,0,43,120,3,0,24,45,6,123,8,92,91,5,11,3,0,0,1,1,5,15,1
2,0,0,22,5,0,0,126,0,14,0,0,6,39,6,24,6,0,36,2,14,2,5,17,0,34,2,0,7,0,2,4,0,114,0,0,118,1,4,25,144,1,11,18,0,53,22,7,3,31,6,29,11,0,8,3,8,30,33,121,89,13,0,176,1
0,0,0,0,0,2,0,0,3,8,1,0,8,16,1,225,49,13,44,46,3,0,33,4,127,18,97,1,6,5,164,7,7,9,40,7,1,110,6,4,0,0,6,2,0,46,9,2,0,2,0,22,213,0,14,3,49,125,31,1,13,7,48,2,1
1,12,0,125,171,2,3,12,0,0,3,128,16,3,0,3,8,52,58,10,76,2,2,0,128,1,4,21,22,23,9,109,6,128,190,59,96,80,38,47,0,1,13,0,2,17,128,143,0,5,1,9,2,0,3,1,1,7,4,16,3,0,0,11,1
21,18,0,0,0,123,29,23,0,86,33,5,5,0,1,48,49,3,0,20,4,55,1,11,7,1,1,1,2,39,1,29,26,7,8,43,46,0,57,25,4,37,12,6,108,0,6,26,2,3,30,11,12,55,1,0,9,6,7,5,6,99,0,1,0
86,6,8,215,0,0,16,0,20,60,0,111,9,0,29,54,13,20,1,34,134,21,41,52,1,32,125,97,28,2,40,30,6,103,6,41,21,67,0,19,9,0,0,29,0,0,40,7,0,24,0,0,45,31,4,0,33,8,2,0,0,4,9,0,0
5,50,53,58,0,0,2,97,0,78,87,57,0,0,0,0,2,22,23,15,7,2,2,1,37,1,46,1,0,0,18,2,18,34,3,8,8,0,0,9,0,67,62,19,0,27,22,17,62,25,9,13,241,31,34,45,119,12,6,171,7,0,4,4,0
